test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,91,"Which of the following business activities would be most affected by weak economies, pricing pressures, regulatory changes, and global supply chain disruptions:",Internal change management,Domestic shipping processes,International risk management,Cultural literacy initiatives,C,International risk management,"International risk management. International risk management poses unique challenges to companies, including the potential for weak foreign economies, pricing pressures from other countries or competing companies, regulatory changes within foreign governments, and global supply chain disruptions. These factors may also affect domestic shipping processes, internal change management, or cultural literacy initiatives; however, international risk management would be most affected."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,92,What is an important element of all businesses that managers must control?,Benefits,Competitors,Finances,Incentives,C,Finances,"Finances. Controlling the finances of a business is critical if the business wants to succeed. Managers need to understand the finances and be able to use financial tools, such as income statements and balance sheets, to monitor the business's income and expenses. Managers need to be prepared to take action to correct problems with the bottom line if financial controls indicate that the business is losing money. It is not possible to control competitors. Benefits and incentives are advantages or payments employees receive in addition to their wages. Businesses usually establish benefit and incentive programs that are comparable to those of similar businesses in the same industry. Reducing benefits and incentives is a step that managers might take if they identify a problem with the business's finances."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,93,"A customer contacts a manager regarding a billing error. After confirming the discrepancy, the manager asks an employee to void the existing invoice and create a new invoice with the correct information. What type of control is the manager using in this situation?",Coercive,Feedback,Feedforward,Concurrent,B,Feedback,"Feedback. Feedback control occurs after a business activity has been completed. In the situation described, the manager asks an employee to take action (make a correction) based on the feedback that they received from a customer. Feedforward is a form of control that bases and establishes procedures by predicting or anticipating activities and their outcomes. Concurrent control involves monitoring business activities as employees perform them. Coercive attitudes involve using aggressive behavior or bullying to get another person to do something."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,94,What must occur before any management functions can be carried out?,Brainstorming,Processing,Analyzing,Planning,D,Planning,"Planning. Planning is the management function of deciding what will be done and how it will be accomplished. Brainstorming is a creative-thinking technique that is often used during the planning process. Deciding what will be done involves establishing objectives. After establishing objectives, the business can implement processes to achieve those objectives. The business analyzes its performance to determine if it achieved its objectives."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,95,How can managers coordinate employees’ activities?,Share organizational charts with them.,Tell them what to do.,Give them the equipment they need.,Evaluate their results.,A,Share organizational charts with them.,"Share organizational charts with them. Managers need to integrate the work of employees and teams together to achieve organizational goals. The manager is in charge of facilitating this coordination by clearly communicating with employees, making connections among departments, and demonstrating the relationships among work tasks. One way to do this is to share organizational charts with employees so they have an understanding of where they fall in the larger scheme of the company. Telling employees what to do, giving them the equipment they need, and evaluating their results are not related to coordinating their activities."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,96,"Burkhart Manufacturing is implementing a new, company-wide computer system. Nadine is in the process of identifying the skills that will be needed to manage the information and maintain the various software applications. What function of management is Nadine focusing on?",Training,Controlling,Planning,Staffing,D,Staffing,"Staffing. Staffing is the management function of finding workers for a business. The staffing function identifies qualified candidates to perform the work. To identify qualified candidates, the manager must know what skills are needed to perform the work. Because Nadine is determining what skills are needed to operate the new computer system, she is focusing her efforts on the staffing function of management. Controlling is the management function of monitoring the work effort. Training involves teaching or developing a new skill. Planning is the management function of deciding what will be done and how it will be accomplished."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,97,"When BlueLight, Inc. merged with a competitor, the managers strived to instruct their employees on the best ways to transition. This is an example of how directing",initiates changes smoothly.,coordinates work and effort.,motivates employees.,builds group dynamics.,A,initiates changes smoothly.,"Initiates changes smoothly. A strong, directive manager helps make transitions smoother and provide the guidance employees need. Managers instruct employees on the best ways to adapt to changes and make sure they understand shifts in responsibilities. The managers at BlueLight, Inc. are attempting to initiate the changes associated with their merger smoothly. They are not motivating employees, coordinating work and effort, or building group dynamics in this example."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,98,"For successful innovation to occur, employees must be willing to __________ while developing ideas.",avoid results,teach,learn,work alone,C,learn,"Learn. For successful innovation to occur, employees must be willing to learn while developing ideas. The development process involves learning and accepting change. Employees do not necessarily have to teach while developing ideas. They should review their results and learn from them, not avoid them. Innovation does not necessarily occur when employees work alone; it may happen when employees are working together."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,99,"Before launching a new product, marketers should obtain the support of top company leadership. This is an example of which aspect of change management?",Sponsorship,Involvement,Readiness,Impact,A,Sponsorship,"Sponsorship. One key aspect of change management is sponsorship, which involves gaining support for the change at the top executive level of the company. It is important to gain this support, as the marketers in this case are doing, for a change to be successful. Involvement means including the right people in the design and implementation of the change. Impact means assessing and addressing how changes will affect people. Readiness is preparing people to adapt to the changes."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,100,Which of the following should a business do prior to initiating any significant change:,Implement corrective action plans,Measure changes in employee behavior,Develop a project impact assessment,Recognize staff who have changed successfully,C,Develop a project impact assessment,"Develop a project impact assessment. Prior to initiating any significant change, businesses should develop a project impact assessment. The impact assessment should detail whom is most likely to be impacted by the change and what the anticipated effects of the change will be on these individuals. Businesses should wait to measure changes in employee behavior, implement corrective action plans, and recognize staff who have changed successfully until after the change has been initiated."
